;Year ;War Name ;War_id;Type of war
0;1816; Allied Bombardment of Algiers of 1816 ;Extra-State War #300 ;Extra-State War 
1;1816; Ottoman-Wahhabi Revolt of 1816-1818 ;Extra-State War #301 ;Extra-State War 
2;1817; Liberation of Chile of 1817-1818 ;Extra-State War #302 ;Extra-State War 
3;1817; First Bolivar Expedition of 1817-1819 ;Extra-State War #303 ;Extra-State War 
4;1817; War of Mexican Independence of 1817-1818 ;Extra-State War #304 ;Extra-State War 
5;1817; British-Kandyan War of 1817-1818 ;Extra-State War #305 ;Extra-State War 
6;1817; British-Maratha of 1817-1818 ;Extra-State War #306 ;Extra-State War 
7;1818; First Maori Tribal War of 1818-1824 ;Non-State War #1500 ;Non-State War 
8;1818; First Caucasus War of 1818-1822 ;Intra-State War #500 ;Intra-State War 
9;1819; Shaka Zulu-Bantu War of 1819-1828 ;Non-State War #1501 ;Non-State War 
10;1819; Burma-Assam War of 1819-1822 ;Non-State War #1502 ;Non-State War 
11;1820; Buenos Aires War of 1820 ;Non-State War #1503 ;Non-State War 
12;1820; Sidon-Damascus War of 1820-1821 ;Intra-State War #501 ;Intra-State War 
13;1820; First Two Sicilies War of 1820-1821 ;Intra-State War #502 ;Intra-State War 
14;1820; Ottoman Conquest of Sudan of 1820-1821 ;Extra-State War #307 ;Extra-State War 
15;1821; Sardinian Revolt of 1821 ;Intra-State War #505 ;Intra-State War 
16;1821; Greek Independence War of 1821-1828 ;Intra-State War #506 ;Intra-State War 
17;1821; Second Bolívar Expedition of 1821-1822 ;Extra-State War #308 ;Extra-State War 
18;1821; Turco-Persian War of 1821-1823 ;Extra-State War #309 ;Extra-State War 
19;1821; Second Maori Tribal War of 1821-1823 ;Non-State War #1505 ;Non-State War 
20;1821; Siam-Kedah War of 1821 ;Non-State War #1506 ;Non-State War 
21;1821; Spanish Royalists War of 1821-1823 ;Intra-State War #503 ;Intra-State War 
22;1823; Franco-Spanish War of 1823 ;Inter-State War #1 ;Inter-State War 
23;1823; First British-Burmese War of 1823-1826 ;Extra-State War #310 ;Extra-State War 
24;1824; First British-Ashanti War of 1824-1826 ;Extra-State War #311 ;Extra-State War 
25;1824; Liberation of Peru of 1824-1825 ;Extra-State War #312 ;Extra-State War 
26;1824; Egypt-Mehdi War of 1824 ;Intra-State War #507 ;Intra-State War 
27;1825; China-Kashgaria War of 1825-1828 ;Non-State War #1508 ;Non-State War 
28;1825; Dutch-Javanese War of 1825-1830 ;Extra-State War #313 ;Extra-State War 
29;1825; Mexico-Yaqui Indian War of 1825-1827 ;Non-State War #1509 ;Non-State War 
30;1825; British-Bharatpuran War of 1825-1826 ;Extra-State War #314 ;Extra-State War 
31;1826; Brazil-Argentine War of 1826-1828 ;Extra-State War #315 ;Extra-State War 
32;1826; Central American Confederation War of 1826-1829 ;Non-State War #1510 ;Non-State War 
33;1826; Viang Chan-Siamese War of 1826-1827 ;Non-State War #1511 ;Non-State War 
34;1826; Janissari Revolt of 1826 ;Intra-State War #508 ;Intra-State War 
35;1826; Russo-Persian War of 1826-1828 ;Extra-State War #316 ;Extra-State War 
36;1828; First Russo-Turkish War of 1828-1829 ;Inter-State War #4 ;Inter-State War 
37;1828; Peru-Gran Colombia War of 1828-1829 ;Non-State War #1512 ;Non-State War 
38;1828; Miguelite War of 1828-1834 ;Intra-State War #510 ;Intra-State War 
39;1829; Argentine War for Unity of 1829-1831 ;Non-State War #1513 ;Non-State War 
40;1829; Spanish Reconquest of Mexico of 1829 ;Extra-State War #317 ;Extra-State War 
41;1829; Sayyid Said War of 1829-1830 ;Non-State War #1514 ;Non-State War 
42;1830; First Murid War of 1830-1832 ;Intra-State War #511 ;Intra-State War 
43;1830; First Albanian Revolt of 1830-1831 ;Intra-State War #512 ;Intra-State War 
44;1830; French Occupation of Algiers of 1830 ;Extra-State War #319 ;Extra-State War 
45;1830; First French Insurrection of 1830 ;Intra-State War #513 ;Intra-State War 
46;1830; Belgian Independence War of 1830 ;Intra-State War #515 ;Intra-State War 
47;1830; China-Kokand War of 1830-1831 ;Non-State War #1515 ;Non-State War 
48;1831; Egyptian Taka Expedition of 1831-1832 ;Intra-State War #516 ;Intra-State War 
49;1831; First Polish War of 1831 ;Intra-State War #517 ;Intra-State War 
50;1831; Siam-Cambodia-Vietnam War of 1831-1834 ;Non-State War #1516 ;Non-State War 
51;1831; First Syrian War of 1831-1832 ;Intra-State War #518 ;Intra-State War 
52;1832; First Mexican War of 1832 ;Intra-State War #520 ;Intra-State War 
53;1832; Ottoman-Bilmez-Asiri War of 1832-1837 ;Extra-State War #320 ;Extra-State War 
54;1833; Argentine-Ranqueles Indian War of 1833-1834 ;Non-State War #1518 ;Non-State War 
55;1834; Egypt-Palestinian Anti-Conscription Revolt of 1834 ;Intra-State War #521 ;Intra-State War 
56;1834; First Carlist War of 1834-1840 ;Intra-State War #522 ;Intra-State War 
57;1834; Second Murid War of 1834 ;Intra-State War #523 ;Intra-State War 
58;1835; Cabanos Revolt of 1835-1837 ;Intra-State War #525 ;Intra-State War 
59;1835; Bolivia Conquest of Peru in 1835-1836 ;Non-State War #1520 ;Non-State War 
60;1835; Farroupilha War of 1835-1845 ;Intra-State War #526 ;Intra-State War 
61;1835; Texan War of 1835-1836 ;Intra-State War #527 ;Intra-State War 
62;1836; First Bosnian War of 1836-1837 ;Intra-State War #528 ;Intra-State War 
63;1836; Third Murid War of 1836-1852 ;Intra-State War #530 ;Intra-State War 
64;1836; Boer-Matabele War of 1836-1837 ;Non-State War #1521 ;Non-State War 
65;1837; Druze Rebellion of 1837-1838 ;Intra-State War #532 ;Intra-State War 
66;1837; Sabinada Rebellion of 1837-1838 ;Intra-State War #531 ;Intra-State War 
67;1837; Dissolution of the Bolivia-Peru Confederation of 1837-1839 ;Non-State War #1523 ;Non-State War 
68;1837; Persian Siege of Herat of 1837-1838 ;Non-State War #1524 ;Non-State War 
69;1838; Boer-Zulu War of 1838 ;Non-State War #1525 ;Non-State War 
70;1838; First British-Zulu War of 1838 ;Extra-State War #321 ;Extra-State War 
71;1839; First British-Afghan War of 1839-1842 ;Extra-State War #322 ;Extra-State War 
72;1839; Anti-Rosas War of 1839-1840 ;Non-State War #1527 ;Non-State War 
73;1839; Dissolution of the Central American Confederation of 1839-1840 ;Non-State War #1528 ;Non-State War 
74;1839; Second Syrian War Phase 1 of 1839 ;Intra-State War #533 ;Intra-State War 
75;1839; First Opium War of 1839-1842 ;Extra-State War #323 ;Extra-State War 
76;1839; First Franco-Algerian War 1839-1847 ;Extra-State War #324 ;Extra-State War 
77;1840; Lebanon Insurgency of 1840 ;Intra-State War #535 ;Intra-State War 
78;1840; First Colombian War of 1840-1842 ;Intra-State War #536 ;Intra-State War 
79;1840; Second Syrian War Phase 2 of 1840 ;Intra-State War #537 ;Intra-State War 
80;1841; First Argentina War Phase 2 of 1841-1842 ;Intra-State War #538 ;Intra-State War 
81;1841; Second Bosnian War of 1841 ;Intra-State War #540 ;Intra-State War 
82;1841; Dogra-Tibet War of 1841-1842 ;Non-State War #1530 ;Non-State War 
83;1841; Triangular Revolt of 1841 ;Intra-State War #541 ;Intra-State War 
84;1841; Peru-Bolivian War of 1841 ;Extra-State War #325 ;Extra-State War 
85;1842; Karbala Revolt of 1842-1843 ;Intra-State War #542 ;Intra-State War 
86;1843; British-Sind War of 1843 ;Extra-State War #326 ;Extra-State War 
87;1843; Uruguay War of 1843-1851 ;Extra-State War #327 ;Extra-State War 
88;1843; Gwalior War of 1843 ;Extra-State War #329 ;Extra-State War 
89;1844; First Haiti-Santo Domingo War of 1844-1845 ;Non-State War #1531 ;Non-State War 
90;1844;Franco-Moroccan War of 1844 ;Extra-State War #330 ;Extra-State War 
91;1845; First Maronite-Druze War of 1845 ;Intra-State War #543 ;Intra-State War 
92;1845; First British-Sikh War of 1845-1846 ;Extra-State War #331 ;Extra-State War 
93;1846; Cracow Revolt of 1846 ;Extra-State War #332 ;Extra-State War 
94;1846; First British-Xhosa War of 1846-1847 ;Extra-State War #333 ;Extra-State War 
95;1846; Mexican-American War of 1846-1847 ;Inter-State War #7 ;Inter-State War 
96;1847; Mayan Caste War Phase 1 of 1847-1848 ;Intra-State War #545 ;Intra-State War 
97;1847; Second Carlist War of 1847-1849 ;Intra-State War #546 ;Intra-State War 
98;1847; War of Seven Khojas 1847 ;Non-State War #1533 ;Non-State War 
99;1848; Second Two Sicilies War of 1848-1849 ;Intra-State War #547 ;Intra-State War 
100;1848; First Venezuelan War of 1848-1849 ;Intra-State War #548 ;Intra-State War 
101;1848; Viennese Revolt of 1848 ;Intra-State War #550 ;Intra-State War 
102;1848; Milan Five Day Revolt of 1848 ;Intra-State War #551 ;Intra-State War 
103;1848; Austro-Sardinian War of 1848-1849 ;Inter-State War #10 ;Inter-State War 
104;1848; First Schleswig-Holstein  War of 1848-1849 ;Inter-State War #13 ;Inter-State War 
105;1848; First Dutch-Bali War of 1848-1849 ;Extra-State War #334 ;Extra-State War 
106;1848; Second British-Sikh War of 1848-1849 ;Extra-State War #335 ;Extra-State War 
107;1848; Second French Insurrection of 1848 ;Intra-State War #552 ;Intra-State War 
108;1848; Mayan Caste War Phase 2 of 1848-1855 ;Intra-State War #553 ;Intra-State War 
109;1848; Hungarian War of 1848-1849 ;Intra-State War #554 ;Intra-State War 
110;1849; War of the Roman Republic of 1849 ;Inter-State War #16 ;Inter-State War 
111;1849; Chinese Pirates War of 1849 ;Extra-State War #336 ;Extra-State War 
112;1850; Taiping Rebellion Phase 1 of 1850-1860 ;Non-State War #1534 ;Non-State War 
113;1850; Second British-Xhosa War of 1850-1852 ;Extra-State War #337 ;Extra-State War 
114;1851; Ottoman-Yam Rebellion of 1851 ;Extra-State War #338 ;Extra-State War 
115;1851; La Plata War of 1851-1852 ;Inter-State War #19 ;Inter-State War 
116;1851; First Chilean War of 1851 ;Intra-State War #555 ;Intra-State War 
117;1852; Second British-Burmese War of 1852 ;Extra-State War #339 ;Extra-State War 
118;1852; First Tukulor War of 1852-1854 ;Non-State War #1535 ;Non-State War 
119;1852; Kashmir-Dards of Chilas War of 1852 ;Non-State War #1536 ;Non-State War 
120;1852; First Turco-Montenegrin War of 1852-1853 ;Intra-State War #556 ;Intra-State War 
121;1853; Crimean War of 1853-1856 ;Inter-State War #22 ;Inter-State War 
122;1853; First Peru War of 1853-1855 ;Intra-State War #557 ;Intra-State War 
123;1854; Han-Miao War of 1854-1860 ;Non-State War #1537 ;Non-State War 
124;1854; French-Tukulor War of 1854-1857 ;Extra-State War #340 ;Extra-State War 
125;1855; Second Haiti-Santo Domingo War of 1855-1856 ;Non-State War #1538 ;Non-State War 
126;1855; Han-Nien War of 1855-1858 ;Non-State War #1539 ;Non-State War 
127;1855; British-Santal War of 1855-1856 ;Extra-State War #341 ;Extra-State War 
128;1855; Puebla War of 1855-1856 ;Intra-State War #558 ;Intra-State War 
129;1856; Hodeida Seige of 1856 ;Extra-State War #342 ;Extra-State War 
130;1856; Filibuster War of 1856-1857 ;Non-State War #1540 ;Non-State War 
131;1856; French Conquest of Kabylia of 1856-1857 ;Extra-State War #345 ;Extra-State War 
132;1856; Han-Panthay War Phase 1 of 1856-1860 ;Non-State War #1541 ;Non-State War 
133;1856; Second Opium War of 1856-1860 ;Extra-State War #343 ;Extra-State War 
