;country;score_2008;score_2009;score_2010;score_2011;score_2012;score_2013;score_2014;score_2015;score_2016;growth_rate
0;Iceland;1.107;1.203;1.212;1.148;1.113;1.162;1.189;1.148;1.192;7.678410117434504
1;Denmark;1.238;1.263;1.341;1.2890000000000001;1.239;1.207;1.193;1.15;1.246;0.6462035541195482
2;Austria;1.291;1.24;1.29;1.337;1.328;1.25;1.2;1.198;1.278;-1.006971340046468
3;New Zealand;1.19;1.227;1.188;1.2790000000000001;1.239;1.237;1.236;1.2209999999999999;1.287;8.15126050420168
4;Portugal;1.385;1.426;1.3659999999999999;1.453;1.47;1.4669999999999999;1.425;1.344;1.3559999999999999;-2.0938628158844863
5;Czech Republic;1.435;1.43;1.36;1.32;1.396;1.4040000000000001;1.381;1.341;1.36;-5.226480836236931
6;Switzerland;1.234;1.349;1.4240000000000002;1.421;1.349;1.272;1.258;1.275;1.37;11.021069692058356
7;Canada;1.264;1.324;1.392;1.355;1.317;1.306;1.306;1.287;1.3880000000000001;9.81012658227849
8;Japan;1.23;1.2429999999999999;1.247;1.287;1.3259999999999998;1.2930000000000001;1.3159999999999998;1.3230000000000002;1.395;13.414634146341466
9;Slovenia;1.37;1.3430000000000002;1.358;1.358;1.33;1.374;1.3980000000000001;1.3780000000000001;1.4080000000000001;2.7737226277372287
10;Finland;1.273;1.297;1.3519999999999999;1.3519999999999999;1.348;1.297;1.297;1.2770000000000001;1.429;12.254516889238031
11;Ireland;1.31;1.393;1.337;1.37;1.328;1.37;1.3840000000000001;1.354;1.433;9.389312977099236
12;Bhutan;1.44;1.722;1.665;1.693;1.4809999999999999;1.4869999999999999;1.422;1.416;1.445;0.34722222222223026
13;Sweden;1.2819999999999998;1.253;1.354;1.401;1.419;1.319;1.381;1.36;1.4609999999999999;13.9625585023401
14;Australia;1.421;1.44;1.4669999999999999;1.455;1.494;1.4380000000000002;1.4140000000000001;1.329;1.465;3.09641097818438
15;Germany;1.406;1.443;1.3980000000000001;1.416;1.4240000000000002;1.431;1.423;1.379;1.486;5.689900426742538
16;Norway;1.288;1.324;1.3219999999999998;1.3559999999999999;1.48;1.359;1.371;1.393;1.5;16.459627329192543
17;Belgium;1.368;1.365;1.4;1.413;1.376;1.339;1.354;1.365;1.528;11.695906432748531
18;Hungary;1.452;1.574;1.495;1.495;1.476;1.52;1.482;1.463;1.534;5.647382920110198
19;Singapore;1.465;1.439;1.624;1.585;1.521;1.4380000000000002;1.545;1.49;1.535;4.778156996587019
20;Netherlands;1.555;1.609;1.61;1.6280000000000001;1.6059999999999999;1.508;1.475;1.432;1.541;-0.9003215434083609
21;Poland;1.61;1.597;1.618;1.545;1.524;1.53;1.5319999999999998;1.43;1.557;-3.291925465838519
22;Mauritius;;;;;1.4869999999999999;1.4969999999999999;1.544;1.5030000000000001;1.5590000000000002;
23;Slovakia;1.5330000000000001;1.5319999999999998;1.536;1.5759999999999998;1.59;1.6219999999999999;1.4669999999999999;1.4780000000000002;1.6030000000000002;4.566210045662104
24;Spain;1.55;1.64;1.588;1.641;1.548;1.5630000000000002;1.548;1.4509999999999998;1.604;3.4838709677419386
25;Croatia;1.76;1.669;1.7069999999999999;1.699;1.6480000000000001;1.571;1.548;1.55;1.633;-7.215909090909091
26;Chile;1.431;1.4680000000000002;1.6159999999999999;1.71;1.6159999999999999;1.589;1.591;1.5630000000000002;1.635;14.255765199161422
27;Botswana;1.65;1.6340000000000001;1.641;1.695;1.621;1.598;1.6780000000000002;1.597;1.639;-0.6666666666666605
28;Bulgaria;1.72;1.7380000000000002;1.785;1.845;1.699;1.663;1.6369999999999998;1.607;1.646;-4.302325581395353
29;Malaysia;1.517;1.52;1.5390000000000001;1.485;1.59;1.574;1.659;1.561;1.6480000000000001;8.635464733025724
30;Romania;1.537;1.58;1.749;1.742;1.6269999999999998;1.584;1.6769999999999998;1.5419999999999998;1.649;7.286922576447632
31;Latvia;1.7;1.774;1.827;1.7930000000000001;1.774;1.7719999999999998;1.745;1.695;1.68;-1.176470588235295
32;Costa Rica;1.57;1.595;1.59;1.681;1.659;1.755;1.755;1.6540000000000001;1.699;8.21656050955414
33;Qatar;1.561;1.357;1.3940000000000001;1.3980000000000001;1.395;1.48;1.4909999999999999;1.568;1.716;9.929532351057018
34;Uruguay;1.524;1.5730000000000002;1.568;1.521;1.6280000000000001;1.528;1.565;1.7209999999999999;1.726;13.254593175853016
35;Estonia;1.65;1.72;1.751;1.798;1.715;1.71;1.635;1.6769999999999998;1.732;4.969696969696975
36;Lithuania;1.67;1.675;1.713;1.76;1.7409999999999999;1.784;1.797;1.6740000000000002;1.735;3.892215568862286
37;Madagascar;1.63;1.886;2.019;2.239;2.124;2.074;1.942;1.911;1.7630000000000001;8.159509202454002
38;Italy;1.62;1.693;1.7009999999999998;1.775;1.69;1.663;1.675;1.669;1.774;9.506172839506167
39;Zambia;1.76;1.824;1.8130000000000002;1.8330000000000002;1.83;1.8319999999999999;1.791;1.8459999999999999;1.7830000000000001;1.3068181818181894
40;Taiwan;1.66;1.6440000000000001;1.6640000000000001;1.6380000000000001;1.6019999999999999;1.538;1.558;1.6569999999999998;1.787;7.650602409638554
41;Indonesia;1.86;1.8430000000000002;1.946;1.979;1.913;1.879;1.8530000000000002;1.768;1.7990000000000002;-3.279569892473115
42;Sierra Leone;;;1.818;1.9040000000000001;1.855;1.9040000000000001;1.942;1.864;1.805;
43;Ghana;1.77;1.795;1.781;1.7519999999999998;1.807;1.899;1.902;1.84;1.8090000000000002;2.203389830508483
44;Malawi;1.84;1.776;1.8130000000000002;1.74;1.8940000000000001;1.984;1.995;1.814;1.817;-1.250000000000007
45;France;1.75;1.7790000000000001;1.636;1.6969999999999998;1.71;1.8630000000000002;1.808;1.742;1.829;4.514285714285712
46;United Kingdom;1.74;1.71;1.631;1.631;1.609;1.787;1.798;1.685;1.83;5.172413793103453
47;Serbia;2.02;1.906;2.0709999999999997;2.0709999999999997;1.92;1.912;1.849;1.768;1.834;-9.207920792079205
48;Panama;1.68;1.8619999999999999;1.8780000000000001;1.8119999999999998;1.899;1.893;1.8769999999999998;1.903;1.837;9.345238095238097
49;Mongolia;2.06;2.06;2.101;1.88;1.8840000000000001;1.921;1.778;1.706;1.838;-10.776699029126211
50;Kuwait;1.67;1.6909999999999998;1.693;1.6669999999999998;1.7919999999999998;1.705;1.679;1.626;1.8419999999999999;10.299401197604787
51;Laos;1.77;1.767;1.661;1.6869999999999998;1.662;1.724;1.723;1.7;1.8519999999999999;4.632768361581912
52;South Korea;1.66;1.716;1.715;1.829;1.734;1.8219999999999998;1.849;1.7009999999999998;1.858;11.927710843373506
53;Albania;1.91;1.89;1.925;1.912;1.9269999999999998;1.9609999999999999;1.939;1.821;1.867;-2.2513089005235565
54;Namibia;1.82;1.837;1.864;1.85;1.804;1.807;1.808;1.784;1.8730000000000002;2.912087912087921
55;Timor-Leste;;;;;;1.854;1.9469999999999998;1.86;1.879;
56;Montenegro;;2.005;2.06;2.113;2.006;1.976;1.86;1.854;1.8840000000000001;
57;Tanzania;1.79;1.7819999999999998;1.8319999999999999;1.858;1.8730000000000002;1.8869999999999998;1.889;1.903;1.899;6.089385474860334
58;Vietnam;1.73;1.764;1.6909999999999998;1.67;1.641;1.7719999999999998;1.7919999999999998;1.848;1.906;10.173410404624274
59;Bosnia and Herzegovina;1.9;1.735;1.8730000000000002;1.893;1.923;1.9669999999999999;1.902;1.839;1.915;0.789473684210533
60;United Arab Emirates;1.557;1.619;1.739;1.69;1.785;1.679;1.7480000000000002;1.805;1.931;24.020552344251776
61;Equatorial Guinea;1.9;1.808;1.9480000000000002;2.041;2.039;2.072;2.079;1.9869999999999999;1.94;2.105263157894739
62;Lesotho;;;;;1.864;1.84;1.839;1.891;1.9409999999999998;
63;Tunisia;1.66;1.686;1.6780000000000002;1.765;1.955;2.005;2.001;1.952;1.949;17.409638554216876
64;Moldova;2.0;1.965;1.9380000000000002;1.892;1.9269999999999998;1.984;1.9709999999999999;1.942;1.953;-2.3499999999999965
65;Togo;;;;;;1.954;2.003;1.944;1.954;
66;Argentina;1.77;1.8459999999999999;1.962;1.8519999999999999;1.7630000000000001;1.9069999999999998;1.7890000000000001;1.865;1.9569999999999999;10.564971751412418
67;Mozambique;1.7;1.7619999999999998;1.7790000000000001;1.8090000000000002;1.796;1.91;2.004;1.976;1.963;15.470588235294125
68;Nicaragua;1.91;1.911;1.9240000000000002;2.021;2.006;1.931;1.882;1.9469999999999998;1.975;3.4031413612565538
69;Senegal;1.95;1.969;2.031;2.0469999999999997;1.994;2.061;1.974;1.805;1.9780000000000002;1.4358974358974486
70;Cyprus;1.65;1.64;2.013;2.013;1.9569999999999999;1.84;1.844;1.9240000000000002;1.994;20.848484848484855
71;Benin;;;;;2.231;2.156;2.129;1.9580000000000002;1.9980000000000002;
72;Liberia;;;2.148;2.1590000000000003;2.131;2.048;2.0140000000000002;1.963;1.9980000000000002;
73;Oman;1.4669999999999999;1.4380000000000002;1.561;1.743;1.8869999999999998;1.806;1.889;1.9469999999999998;2.016;37.42331288343559
74;Kazakhstan;2.03;2.141;2.113;2.137;2.151;2.031;2.15;2.008;2.019;-0.5418719211822501
75;Ecuador;2.17;2.197;2.185;2.116;2.028;2.059;2.042;1.9969999999999999;2.02;-6.91244239631336
76;Kosovo;;;;;;1.969;1.929;1.9380000000000002;2.022;
77;Nepal;;1.9669999999999999;2.044;2.1519999999999997;2.001;2.0580000000000003;1.989;1.8780000000000001;2.026;
78;Gabon;1.75;1.73;1.9809999999999999;2.059;1.972;1.995;1.945;1.9040000000000001;2.033;16.171428571428567
79;Paraguay;1.9;1.95;2.019;1.954;1.973;2.06;1.976;2.023;2.037;7.210526315789474
80;Bolivia;1.96;2.041;2.037;2.045;2.021;2.062;1.969;2.025;2.0380000000000003;3.979591836734709
81;Greece;1.81;1.85;1.8869999999999998;1.9469999999999998;1.976;1.9569999999999999;2.052;1.8780000000000001;2.044;12.928176795580109
82;Bangladesh;2.1;2.082;2.0580000000000003;2.07;2.0709999999999997;2.1590000000000003;2.106;1.9969999999999999;2.045;-2.6190476190476266
83;Trinidad and Tobago;;1.985;2.1069999999999998;2.051;2.082;2.074;2.065;2.07;2.056;
84;Georgia;;2.842;2.97;2.5580000000000003;2.541;2.511;2.225;1.973;2.057;
85;Cuba;1.86;1.858;1.964;1.964;1.9509999999999998;1.922;1.986;1.9880000000000002;2.057;10.591397849462357
86;Peru;2.06;2.0;2.0669999999999997;2.077;1.995;2.258;2.3040000000000003;2.029;2.057;-0.14563106796117056
87;Burkina Faso;1.93;1.86;1.8519999999999999;1.8319999999999999;1.881;2.064;1.9980000000000002;1.994;2.063;6.891191709844572
88;Haiti;;2.406;2.27;2.2880000000000003;2.1790000000000003;2.075;2.127;2.074;2.066;
89;Swaziland;;;1.966;1.995;2.028;2.069;2.056;2.102;2.074;
90;Morocco;1.82;1.8559999999999999;1.861;1.8869999999999998;1.867;1.8969999999999998;1.915;2.002;2.086;14.615384615384603
91;Gambia;;;1.89;1.91;1.9609999999999999;2.0909999999999997;2.085;2.086;2.0909999999999997;
92;Jamaica;;2.065;2.138;2.244;2.222;2.274;2.2030000000000003;2.153;2.0909999999999997;
93;Macedonia;1.96;2.052;2.048;2.048;1.935;2.044;2.056;1.944;2.092;6.7346938775510266
94;Guyana;;2.082;2.095;2.112;1.9369999999999998;1.962;2.013;2.029;2.105;
95;Jordan;1.83;1.864;1.9480000000000002;1.9180000000000001;1.905;1.858;1.861;1.944;2.127;16.229508196721294
96;Sri Lanka;;2.571;2.6210000000000004;2.407;2.145;2.23;2.197;2.188;2.133;
97;Angola;2.17;2.045;2.057;2.109;2.105;2.148;2.1430000000000002;2.02;2.14;-1.382488479262664
98;Papua New Guinea;;2.075;2.113;2.1390000000000002;2.076;2.126;2.066;2.064;2.1430000000000002;
99;Dominican Republic;;2.004;2.103;2.125;2.068;2.103;2.093;2.089;2.1430000000000002;
100;Uganda;;2.188;2.165;2.1590000000000003;2.121;2.18;2.221;2.1790000000000003;2.148;
101;Guinea;;;;2.126;2.073;2.272;2.296;2.214;2.148;
102;United States;;2.195;2.056;2.063;2.0580000000000003;2.126;2.137;2.0380000000000003;2.154;
103;Cambodia;2.12;2.178;2.252;2.301;2.207;2.263;2.201;2.1790000000000003;2.161;1.9339622641509397
104;Brazil;2.1;2.0580000000000003;2.048;2.04;2.017;2.051;2.073;2.122;2.176;3.6190476190476226
105;Belarus;2.06;2.046;2.204;2.283;2.208;2.117;2.0780000000000003;2.1630000000000003;2.202;6.893203883495142
106;Turkmenistan;2.16;2.075;2.295;2.248;2.242;2.154;2.093;2.135;2.202;1.9444444444444358
107;Algeria;2.29;2.276;2.2769999999999997;2.423;2.255;2.2840000000000003;2.239;2.131;2.213;-3.3624454148471594
108;Uzbekistan;2.325;2.274;2.242;2.26;2.219;2.333;2.1790000000000003;2.187;2.2159999999999997;-4.688172043010771
109;Armenia;;;2.266;2.26;2.238;2.123;2.097;2.028;2.218;
110;Honduras;2.37;2.379;2.395;2.327;2.339;2.332;2.281;2.21;2.237;-5.6118143459915615
111;El Salvador;2.1;2.08;2.195;2.215;2.22;2.24;2.28;2.263;2.237;6.523809523809524
112;Niger;;;;2.356;2.241;2.362;2.351;2.32;2.239;
113;Republic of the Congo;2.18;2.161;2.1919999999999997;2.165;2.148;2.1830000000000003;2.211;2.1959999999999997;2.249;3.1651376146788963
114;Myanmar;2.54;2.495;2.58;2.5380000000000003;2.525;2.528;2.4730000000000003;2.323;2.256;-11.181102362204735
115;Guinea-Bissau;;;;;2.105;2.431;2.591;2.235;2.2640000000000002;
116;Guatemala;2.21;2.187;2.258;2.405;2.287;2.221;2.248;2.215;2.27;2.714932126696835
117;Ivory Coast;2.3;2.32;2.2969999999999997;2.417;2.419;2.7319999999999998;2.546;2.133;2.279;-0.9130434782608656
118;Ethiopia;2.46;2.635;2.444;2.468;2.504;2.63;2.502;2.234;2.2840000000000003;-7.154471544715435
119;China;2.03;2.045;2.0340000000000003;2.0540000000000003;2.061;2.142;2.207;2.267;2.2880000000000003;12.709359605911352
120;Djibouti;;;;;1.881;1.9169999999999998;1.979;2.113;2.292;
121;Tajikistan;;;;2.225;2.124;2.282;2.395;2.1519999999999997;2.293;
122;Mauritania;2.25;2.388;2.3890000000000002;2.425;2.301;2.326;2.35;2.262;2.295;1.999999999999997
123;Kyrgyzstan;;;;2.296;2.359;2.391;2.3819999999999997;2.249;2.294;
124;Thailand;2.324;2.399;2.3930000000000002;2.247;2.303;2.378;2.395;2.303;2.312;-0.5163511187607578
125;South Africa;2.12;2.3169999999999997;2.38;;2.3209999999999997;2.292;2.364;2.376;2.316;9.245283018867912
126;Zimbabwe;2.38;2.7;2.678;2.722;2.5380000000000003;2.696;2.662;2.294;2.322;-2.4369747899159595
127;Rwanda;1.87;2.025;2.012;2.185;2.25;2.444;2.494;2.42;2.323;24.22459893048127
128;Saudi Arabia;2.25;2.251;2.2159999999999997;2.1919999999999997;2.178;2.119;2.003;2.042;2.338;3.9111111111111145
129;Cameroon;2.1;2.1109999999999998;2.21;2.104;2.113;2.191;2.235;2.349;2.356;12.19047619047618
130;Kenya;2.38;2.2969999999999997;2.369;2.276;2.252;2.4659999999999997;2.452;2.342;2.379;-0.04201680672268445
131;Bahrain;1.8;1.815;1.956;2.398;2.247;2.109;2.225;2.142;2.398;33.22222222222223
132;Iran;2.241;2.241;2.202;2.356;2.324;2.4730000000000003;2.437;2.4090000000000003;2.411;7.585899152164209
133;Azerbaijan;2.29;2.342;2.367;2.379;2.36;2.35;2.365;2.325;2.45;6.986899563318784
134;Eritrea;;;;2.227;2.2640000000000002;2.2880000000000003;2.377;2.309;2.46;
135;Chad;2.97;2.9589999999999996;2.964;2.74;2.6710000000000003;2.4930000000000003;2.5580000000000003;2.4290000000000003;2.464;-17.03703703703704
136;Mali;2.29;2.25;2.24;2.188;2.1319999999999997;2.346;2.465;2.31;2.489;8.689956331877722
137;Burundi;;2.536;2.577;2.532;2.524;2.593;2.418;2.323;2.5;
138;Philippines;2.37;2.397;2.574;2.574;2.415;2.374;2.456;2.4619999999999997;2.511;5.9493670886075956
139;Mexico;2.06;2.158;2.2159999999999997;2.362;2.445;2.434;2.5;2.53;2.557;24.126213592233004
140;India;2.49;2.5540000000000003;2.516;2.57;2.549;2.57;2.571;2.504;2.5660000000000003;3.052208835341368
141;Egypt;1.95;1.8719999999999999;1.784;2.023;2.22;2.258;2.571;2.3819999999999997;2.574;31.999999999999996
142;Venezuela;2.24;2.3480000000000003;2.387;2.403;2.278;2.37;2.41;2.4930000000000003;2.6510000000000002;18.348214285714285
143;Israel;2.97;3.012;3.0189999999999997;2.9010000000000002;2.842;2.73;2.6889999999999996;2.781;2.656;-10.572390572390573
144;Turkey;2.43;2.5380000000000003;2.42;2.411;2.344;2.437;2.4019999999999997;2.363;2.71;11.522633744855957
145;Lebanon;2.67;2.6060000000000003;2.639;2.597;2.459;2.575;2.62;2.623;2.752;3.0711610486891328
146;Colombia;2.61;2.625;2.787;2.7;2.625;2.634;2.701;2.72;2.764;5.900383141762449
147;Palestine;;;;;;;;;2.832;
148;Nigeria;2.57;2.5989999999999998;2.7560000000000002;2.7430000000000003;2.801;2.693;2.71;2.91;2.877;11.945525291828792
149;North Korea;2.75;2.7710000000000004;2.855;3.092;2.932;3.0439999999999996;3.071;2.977;2.944;7.054545454545452
150;Russia;2.87;3.0639999999999996;3.013;2.966;2.938;3.06;3.0389999999999997;2.9539999999999997;3.0789999999999997;7.28222996515678
151;Democratic Republic of the Congo;2.69;2.988;2.925;3.016;3.073;3.085;3.213;3.085;3.112;15.68773234200744
152;Pakistan;2.89;3.0869999999999997;3.05;2.905;2.833;3.1060000000000003;3.1069999999999998;3.049;3.145;8.823529411764703
153;Libya;1.87;1.79;1.839;2.8160000000000003;2.83;2.6039999999999996;2.4530000000000003;2.819;3.2;71.12299465240642
154;Sudan;3.15;3.0860000000000003;3.125;3.2230000000000003;3.193;3.242;3.362;3.295;3.2689999999999997;3.777777777777771
155;Ukraine;2.02;2.166;2.115;1.995;1.953;2.238;2.546;2.845;3.287;62.722772277227726
156;Central African Republic;2.81;2.7060000000000004;2.753;2.8689999999999998;2.872;3.031;3.3310000000000004;3.332;3.3539999999999996;19.35943060498219
